Transaction ID,Customer ID,Transaction Date,Transaction Type,Amount (KES),Customer Age,Customer Segment,Account Balance (KES),Branch Location,Transaction Channel
TXN10332,CUST7385,2023-03-19,Deposit,31211.09,58,Corporate,318927.55,Nairobi,ATM
TXN10333,CUST5636,2023-09-04,Fund Transfer,32675.9,70,SME,209561.46,Nairobi,ATM
TXN10334,CUST7674,2023-10-31,Withdrawal,22492.88,36,SME,303224.38,Eldoret,ATM
TXN10335,CUST6564,2023-03-10,Bill Payment,18225.97,25,Retail,212904.11,Nakuru,Online
TXN10336,CUST5392,2023-06-06,Withdrawal,67769.37,32,Corporate,188312.22,Nakuru,ATM
TXN10337,CUST7602,2023-05-16,Loan Payment,43040.95,42,SME,430397.42,Kisumu,ATM
TXN10338,CUST4430,2023-12-28,Bill Payment,34817.85,34,Retail,92011.93,Eldoret,Bank Teller
TXN10339,CUST1126,2023-07-27,Bill Payment,49426.97,53,SME,258952.8,Nakuru,Online
TXN10340,CUST7916,2023-10-24,Withdrawal,15453.12,20,Corporate,153187.75,Kisumu,Online
TXN10341,CUST7616,2023-12-03,Fund Transfer,78818.3,39,Corporate,262535.71,Kisumu,Online
TXN10342,CUST6413,2023-04-24,Fund Transfer,11499.26,43,SME,30525.06,Nairobi,Online
TXN10343,CUST6843,2023-03-25,Fund Transfer,58468.58,27,Retail,171305.2,Eldoret,Bank Teller
TXN10344,CUST5204,2023-02-28,Withdrawal,76409.7,70,Corporate,75531.38,Mombasa,Online
TXN10345,CUST8569,2023-03-12,Withdrawal,89154.31,43,SME,388678.87,Nairobi,ATM
TXN10346,CUST2083,2023-09-19,Fund Transfer,3679.51,63,Retail,306295.72,Nakuru,ATM
TXN10347,CUST3767,2023-09-12,Bill Payment,80667.94,26,Corporate,468289.58,Mombasa,Mobile Banking
TXN10348,CUST5986,2023-09-12,Bill Payment,78494.38,26,Retail,329352.78,Kisumu,Online
TXN10349,CUST1555,2023-07-11,Withdrawal,95443.76,43,Corporate,379214.42,Mombasa,Online
TXN10350,CUST8348,2023-07-16,Withdrawal,18265.68,43,Corporate,216224.54,Nakuru,Mobile Banking
TXN10351,CUST1813,2023-08-31,Withdrawal,75793.13,52,Retail,493841.95,Nakuru,Bank Teller
TXN10352,CUST7492,2023-04-26,Loan Payment,48043.74,35,SME,398048.67,Eldoret,Mobile Banking
TXN10353,CUST3842,2023-05-16,Loan Payment,826.41,62,Corporate,203206.18,Mombasa,ATM
TXN10354,CUST2988,2023-01-01,Loan Payment,15843.21,50,Retail,204333.95,Nairobi,ATM
TXN10355,CUST4324,2023-05-08,Deposit,19284.3,65,Corporate,299477.49,Nairobi,ATM
TXN10356,CUST7276,2023-11-16,Loan Payment,68841.44,47,SME,418654.28,Nakuru,Online
TXN10357,CUST1975,2023-06-10,Bill Payment,3713.5,21,SME,306573.83,Mombasa,Online
TXN10358,CUST8284,2023-06-13,Fund Transfer,59636.46,37,SME,129712.65,Nakuru,Online
TXN10359,CUST6147,2023-02-06,Fund Transfer,15691.83,23,SME,206425.57,Mombasa,Mobile Banking
TXN10360,CUST6080,2023-10-14,Loan Payment,93937.94,65,SME,191257.23,Nairobi,Online
TXN10361,CUST4224,2023-04-11,Loan Payment,80032.12,66,Corporate,96892.78,Mombasa,Online
TXN10362,CUST4088,2023-11-06,Bill Payment,83019.06,38,SME,467814.53,Eldoret,Mobile Banking
TXN10363,CUST2425,2023-07-30,Loan Payment,81847.17,67,Corporate,117347.16,Kisumu,Mobile Banking
TXN10364,CUST8338,2023-10-30,Loan Payment,36788.8,24,SME,297089.21,Mombasa,ATM
TXN10365,CUST3468,2023-03-16,Withdrawal,61927.26,18,SME,175925.89,Kisumu,Online
TXN10366,CUST2624,2023-08-11,Withdrawal,78540.08,34,Corporate,155517.36,Nairobi,Online
TXN10367,CUST8228,2023-05-07,Withdrawal,44052.67,18,Retail,214260.52,Nairobi,ATM
TXN10368,CUST3418,2023-08-04,Withdrawal,30562.04,19,SME,340388.7,Kisumu,Mobile Banking
TXN10369,CUST3596,2023-01-05,Withdrawal,53340.45,55,Corporate,490022.81,Eldoret,ATM
TXN10370,CUST7050,2023-08-01,Bill Payment,2714.27,25,SME,89490.47,Kisumu,ATM
TXN10371,CUST5976,2023-03-20,Deposit,8596.28,27,Retail,150438.53,Nakuru,ATM
TXN10372,CUST6270,2023-08-13,Bill Payment,49773.2,53,SME,136661.07,Kisumu,Mobile Banking
TXN10373,CUST4936,2023-06-16,Loan Payment,88888.15,29,Retail,352646.85,Nakuru,ATM
TXN10374,CUST3439,2023-09-09,Loan Payment,67659.6,42,Retail,479753.09,Kisumu,Bank Teller
TXN10375,CUST9447,2023-10-19,Loan Payment,48771.3,56,SME,489930.29,Mombasa,Bank Teller
TXN10376,CUST9496,2023-09-15,Fund Transfer,83656.69,19,Retail,364473.97,Eldoret,ATM
TXN10377,CUST7399,2023-01-04,Fund Transfer,1235.95,46,SME,404910.66,Eldoret,Bank Teller
TXN10378,CUST8634,2023-08-28,Loan Payment,37723.64,20,Corporate,459130.75,Kisumu,Online
TXN10379,CUST4404,2023-02-22,Loan Payment,85546.08,46,Retail,212385.65,Eldoret,Online
TXN10380,CUST6102,2023-01-13,Deposit,73964.69,57,SME,281394.19,Mombasa,Mobile Banking
TXN10381,CUST2892,2023-03-07,Bill Payment,53633.29,48,Retail,415696.8,Nakuru,Mobile Banking
TXN10382,CUST7110,2023-02-22,Bill Payment,30189.22,44,Corporate,213962.14,Mombasa,Mobile Banking
TXN10383,CUST5338,2023-11-23,Fund Transfer,56931.12,67,SME,428518.47,Eldoret,ATM
TXN10384,CUST4343,2023-09-26,Bill Payment,66968.28,64,SME,315862.98,Eldoret,Online
TXN10385,CUST7763,2023-11-02,Bill Payment,28681.19,39,Corporate,104935.4,Nakuru,Online
TXN10386,CUST4771,2023-07-12,Bill Payment,30411.23,43,Corporate,259373.73,Kisumu,Online
TXN10387,CUST7036,2023-05-19,Bill Payment,11321.47,24,Retail,480796.38,Kisumu,Online
TXN10388,CUST6306,2023-09-22,Deposit,79310.94,22,SME,191163.84,Kisumu,Bank Teller
TXN10389,CUST6971,2023-11-26,Fund Transfer,92944.93,24,Corporate,6941.96,Nairobi,Online
TXN10390,CUST1076,2023-07-30,Loan Payment,71174.05,39,Corporate,177729.41,Kisumu,Mobile Banking
TXN10391,CUST1905,2023-10-20,Withdrawal,23250.06,23,SME,453229.55,Mombasa,Bank Teller
TXN10392,CUST9160,2023-01-17,Fund Transfer,2082.99,60,Corporate,51399.27,Mombasa,Bank Teller
TXN10393,CUST5410,2024-01-01,Withdrawal,48821.92,21,Retail,421752.09,Eldoret,Mobile Banking
TXN10394,CUST4481,2023-02-25,Fund Transfer,74692.08,38,SME,473485.21,Kisumu,Online
TXN10395,CUST7656,2023-05-22,Deposit,11287.31,47,SME,118236.58,Mombasa,ATM
TXN10396,CUST1712,2023-05-18,Withdrawal,99952.47,69,SME,37227.72,Nakuru,Bank Teller
TXN10397,CUST8911,2023-09-23,Fund Transfer,1690.82,23,Corporate,299023.98,Kisumu,ATM
TXN10398,CUST2583,2023-01-04,Bill Payment,33437.74,27,Retail,211821.74,Mombasa,Online
TXN10399,CUST4473,2023-05-16,Withdrawal,1319.42,36,Corporate,28533.21,Mombasa,ATM
TXN10400,CUST6953,2023-11-06,Withdrawal,27316.74,43,Retail,85342.82,Kisumu,Online
TXN10401,CUST5608,2023-09-03,Withdrawal,94328.08,28,Retail,59752.18,Eldoret,ATM
TXN10402,CUST4875,2023-08-29,Bill Payment,17166.79,47,SME,10162.24,Nairobi,Mobile Banking
TXN10403,CUST5563,2023-08-11,Bill Payment,97481.82,42,Corporate,273478.02,Eldoret,Online
TXN10404,CUST2662,2023-10-21,Loan Payment,95293.78,53,SME,323157.36,Mombasa,Bank Teller
TXN10405,CUST4042,2023-03-18,Bill Payment,49549.56,34,Retail,452038.1,Eldoret,Bank Teller
TXN10406,CUST8074,2023-06-15,Deposit,60297.29,46,Retail,262680.45,Nairobi,Mobile Banking
TXN10407,CUST2128,2023-10-07,Loan Payment,73727.95,32,Corporate,325355.93,Nakuru,Mobile Banking
TXN10408,CUST4729,2023-10-16,Deposit,26042.81,60,SME,50658.69,Eldoret,Bank Teller
TXN10409,CUST3091,2023-06-02,Fund Transfer,8844.84,66,Corporate,17938.23,Nakuru,Mobile Banking
TXN10410,CUST4369,2023-03-24,Bill Payment,29406.35,41,Corporate,61397.66,Nairobi,Bank Teller
TXN10411,CUST7177,2023-10-12,Deposit,39171.65,43,SME,99975.82,Nakuru,Online
TXN10412,CUST8204,2023-12-30,Withdrawal,30047.82,48,Corporate,14574.09,Nairobi,Mobile Banking
TXN10413,CUST3941,2023-08-25,Deposit,94871.45,68,Corporate,285715.02,Kisumu,Online
TXN10414,CUST8318,2023-04-16,Fund Transfer,15037.86,39,Corporate,277717.14,Nairobi,Online
TXN10415,CUST5433,2023-10-31,Withdrawal,95087.18,62,Retail,233269.31,Kisumu,Online
TXN10416,CUST1581,2023-12-25,Fund Transfer,10950.83,66,Corporate,450641.51,Kisumu,ATM
TXN10417,CUST1763,2023-03-10,Withdrawal,59842.74,41,Retail,2938.19,Nakuru,ATM
TXN10418,CUST6861,2023-11-25,Deposit,38460.98,63,Corporate,85287.59,Kisumu,ATM
TXN10419,CUST2279,2023-02-12,Withdrawal,17022.94,31,SME,148279.22,Kisumu,Bank Teller
TXN10420,CUST6790,2023-07-01,Fund Transfer,635.68,32,Retail,458795.32,Eldoret,Online
TXN10421,CUST5826,2023-12-23,Fund Transfer,58827.52,29,Retail,27948.14,Nairobi,Bank Teller
TXN10422,CUST3864,2023-05-09,Deposit,41894.3,57,Retail,430631.83,Nakuru,Mobile Banking
TXN10423,CUST2952,2023-05-23,Fund Transfer,99104.72,52,SME,307786.12,Kisumu,ATM
TXN10424,CUST8159,2023-02-08,Fund Transfer,37345.57,43,SME,373492.93,Nakuru,Mobile Banking
TXN10425,CUST7852,2023-03-23,Loan Payment,55038.76,47,Retail,306408.54,Nakuru,ATM
TXN10426,CUST3298,2023-10-08,Deposit,42251.72,68,SME,80411.7,Mombasa,Bank Teller
TXN10427,CUST8044,2023-09-17,Deposit,14105.54,41,SME,95378.34,Kisumu,Online
TXN10428,CUST8636,2023-10-23,Loan Payment,21548.8,69,Corporate,129500.93,Nairobi,Mobile Banking
TXN10429,CUST7882,2023-03-31,Withdrawal,47440.44,64,Retail,304730.91,Kisumu,Online
TXN10430,CUST8624,2023-04-14,Fund Transfer,23418.64,36,SME,350452.19,Nairobi,Bank Teller
TXN10431,CUST1291,2023-06-19,Fund Transfer,74559.61,40,Corporate,302847.93,Nairobi,ATM
TXN10432,CUST7261,2023-09-21,Fund Transfer,36874.68,66,Retail,369491.28,Nakuru,Mobile Banking
TXN10433,CUST4010,2023-12-17,Withdrawal,30643.43,23,Corporate,34112.06,Nakuru,ATM
TXN10434,CUST7032,2023-05-30,Withdrawal,35397.97,38,SME,339633.02,Kisumu,ATM
TXN10435,CUST9815,2023-08-20,Bill Payment,18018.33,53,Retail,227126.39,Nairobi,Mobile Banking
TXN10436,CUST2026,2023-08-18,Bill Payment,25260.75,30,SME,457564.68,Mombasa,ATM
TXN10437,CUST7728,2023-09-16,Deposit,88033.67,35,Corporate,351599.58,Nakuru,Mobile Banking
TXN10438,CUST3846,2023-04-24,Deposit,61846.26,60,Retail,444582.38,Eldoret,Mobile Banking
TXN10439,CUST9479,2023-12-09,Deposit,90672.12,29,SME,26480.26,Eldoret,ATM
TXN10440,CUST9501,2023-02-06,Bill Payment,88629.45,68,Corporate,486944.16,Mombasa,ATM
TXN10441,CUST9310,2023-11-12,Fund Transfer,23184.52,69,SME,424288.81,Nairobi,ATM
TXN10442,CUST2564,2023-10-31,Bill Payment,53992.89,46,Retail,446872.4,Mombasa,ATM
TXN10443,CUST1050,2023-02-09,Deposit,64105.26,59,SME,417951.55,Kisumu,Mobile Banking
TXN10444,CUST9212,2023-06-30,Bill Payment,84910.0,51,SME,58984.29,Mombasa,Mobile Banking
TXN10445,CUST3196,2023-12-10,Bill Payment,28319.98,62,SME,268130.36,Nakuru,Online
TXN10446,CUST1353,2023-12-16,Fund Transfer,70674.07,39,Corporate,415092.61,Nakuru,Bank Teller
TXN10447,CUST7358,2023-10-18,Bill Payment,66566.38,41,Retail,55181.76,Nairobi,Bank Teller
TXN10448,CUST2442,2023-02-24,Fund Transfer,16107.82,37,Retail,266376.01,Mombasa,ATM
TXN10449,CUST6335,2023-11-02,Fund Transfer,96277.19,58,Corporate,264851.36,Nairobi,Online
TXN10450,CUST5106,2023-09-22,Loan Payment,80977.29,26,Retail,49819.05,Kisumu,Bank Teller
TXN10451,CUST8286,2023-05-23,Withdrawal,28834.07,37,SME,224599.53,Kisumu,ATM
TXN10452,CUST7290,2023-02-24,Withdrawal,11191.06,37,SME,363488.81,Nairobi,Bank Teller
TXN10453,CUST4231,2023-04-05,Bill Payment,47070.29,25,Retail,208192.5,Nakuru,Mobile Banking
TXN10454,CUST6222,2023-12-25,Fund Transfer,52518.2,37,Retail,122866.14,Kisumu,ATM
TXN10455,CUST2160,2023-10-01,Deposit,67630.98,38,Corporate,435884.58,Nakuru,Mobile Banking
TXN10456,CUST2974,2023-04-23,Fund Transfer,4291.05,70,SME,134218.05,Mombasa,Bank Teller
TXN10457,CUST7829,2024-01-01,Loan Payment,1417.13,39,Corporate,279200.39,Nakuru,Bank Teller
TXN10458,CUST2033,2023-06-24,Loan Payment,80311.62,30,Corporate,133864.91,Kisumu,Online
TXN10459,CUST6320,2023-04-28,Deposit,17284.45,59,Corporate,387242.58,Eldoret,ATM
TXN10460,CUST5011,2023-10-20,Deposit,25358.68,59,Corporate,238918.98,Mombasa,Online
TXN10461,CUST8784,2023-04-23,Bill Payment,93719.22,62,SME,480852.83,Mombasa,Bank Teller
TXN10462,CUST1402,2023-01-31,Bill Payment,68862.85,30,SME,24401.22,Nakuru,Bank Teller
TXN10463,CUST8492,2023-09-14,Bill Payment,527.0,55,Retail,322264.98,Eldoret,Mobile Banking
TXN10464,CUST9426,2023-08-10,Bill Payment,99874.05,21,SME,278016.3,Eldoret,ATM
TXN10465,CUST8958,2023-08-22,Loan Payment,83749.91,36,Retail,218327.84,Nakuru,Bank Teller
TXN10466,CUST5555,2023-04-12,Bill Payment,83042.62,35,Retail,4517.85,Nairobi,Online
TXN10467,CUST4463,2023-01-07,Fund Transfer,7501.94,23,Retail,60980.85,Nairobi,ATM
TXN10468,CUST5317,2023-03-28,Loan Payment,24627.35,68,Corporate,247155.88,Mombasa,ATM
TXN10469,CUST6344,2023-05-15,Bill Payment,37919.3,62,SME,463541.2,Mombasa,Mobile Banking
TXN10470,CUST2521,2023-01-12,Bill Payment,45804.16,63,Retail,173639.85,Kisumu,Online
TXN10471,CUST4000,2023-02-05,Fund Transfer,64846.71,50,SME,350203.0,Eldoret,Online
TXN10472,CUST2114,2023-08-27,Bill Payment,76263.64,51,SME,150182.81,Kisumu,Bank Teller
TXN10473,CUST2814,2023-12-01,Fund Transfer,67129.24,38,Retail,79519.88,Nairobi,ATM
TXN10474,CUST7923,2023-04-24,Loan Payment,13155.62,50,Retail,178496.38,Mombasa,Online
TXN10475,CUST1399,2023-08-20,Bill Payment,15281.49,33,SME,458140.91,Eldoret,ATM
TXN10476,CUST8756,2023-01-04,Bill Payment,40337.91,68,SME,498943.55,Mombasa,ATM
TXN10477,CUST6356,2023-01-20,Deposit,41716.23,38,SME,56372.33,Eldoret,Bank Teller
TXN10478,CUST9824,2023-12-15,Fund Transfer,82828.22,68,SME,1918.07,Eldoret,Mobile Banking
TXN10479,CUST4143,2023-10-24,Withdrawal,40841.09,31,SME,35958.23,Kisumu,Online
TXN10480,CUST6809,2023-02-23,Bill Payment,59617.31,56,Retail,205493.99,Mombasa,Bank Teller
TXN10481,CUST8792,2023-01-08,Fund Transfer,60968.09,27,Corporate,61025.61,Mombasa,ATM
TXN10482,CUST6852,2023-11-19,Bill Payment,22028.61,41,Retail,70629.29,Nakuru,ATM
TXN10483,CUST5350,2023-12-08,Bill Payment,61174.63,22,Retail,329666.35,Eldoret,ATM
TXN10484,CUST6425,2023-03-01,Withdrawal,22952.53,40,Corporate,411133.5,Kisumu,Bank Teller
TXN10485,CUST4501,2023-02-19,Fund Transfer,57910.64,27,Retail,143365.9,Nairobi,ATM
TXN10486,CUST8913,2023-09-21,Withdrawal,96033.49,18,Corporate,346751.64,Nairobi,Bank Teller
TXN10487,CUST1211,2023-10-22,Deposit,86409.13,38,Corporate,89305.73,Kisumu,Bank Teller
TXN10488,CUST1850,2023-06-27,Deposit,66561.14,66,Corporate,393104.39,Nairobi,Online
TXN10489,CUST8065,2023-06-15,Deposit,18073.26,59,SME,303519.81,Eldoret,Mobile Banking
TXN10490,CUST6094,2023-08-05,Bill Payment,75246.81,21,Corporate,404147.98,Eldoret,Online
TXN10491,CUST6322,2023-01-17,Withdrawal,74515.6,37,Retail,141993.3,Nakuru,ATM
TXN10492,CUST8900,2023-02-09,Fund Transfer,11886.47,53,Corporate,8054.85,Nairobi,Mobile Banking
TXN10493,CUST5068,2023-08-19,Deposit,72055.13,43,Corporate,390390.01,Eldoret,Online
TXN10494,CUST7537,2023-11-27,Loan Payment,26216.66,64,Corporate,29748.38,Mombasa,Mobile Banking
TXN10495,CUST3292,2023-04-07,Withdrawal,41579.62,31,SME,31048.96,Eldoret,Bank Teller
TXN10496,CUST5287,2023-02-07,Loan Payment,6032.9,46,Retail,489350.07,Kisumu,ATM
TXN10497,CUST1723,2023-05-26,Fund Transfer,74537.78,48,Corporate,128889.38,Eldoret,Mobile Banking
TXN10498,CUST1902,2023-05-26,Withdrawal,33673.41,32,Retail,245700.81,Mombasa,ATM
TXN10499,CUST6172,2023-11-02,Loan Payment,32380.35,36,Retail,149223.25,Eldoret,Online
